Country;Artist;Song;Language;Pl.;Year;sentiment_score;index_col;track.id_x
Hungary;compact disco;sound of our hearts;English;24.0;2012;5.65090909090909;1252;4KOgesWursoKmzrswQumOb
Austria;trackshittaz;woki mit deim popo;Mühlviertel German;;2012;5.889999999999997;1253;1wlchyVk3oSHB6zN9JEuM1
Moldova;pasha parfeny;lăutar;English (title Romanian);11.0;2012;5.995862068965517;1254;7cpOKiJAbRLvmMJdzckE3Y
Ireland;jedward;waterline;English;19.0;2012;5.386470588235294;1255;0xCMGAf80y3dUevG2qXpvS
Serbia;željko joksimović;nije ljubav stvar;Serbian;3.0;2012;5.505200000000001;1256;0XPSz3tEODnQtWoPrhVwAr
Macedonia;kaliopi;crno i belo;Macedonian;13.0;2012;6.067142857142857;1257;1tvQ2CzMCbcVGylkU9u8TS
Netherlands;joan franka;you and me;English;;2012;6.178717948717948;1258;6su3C6ckGFuLPq3j9XcVix
Malta;kurt calleja;this is the night;English;21.0;2012;5.7552941176470584;1259;3crsaMSUy4NWIm0ARcMRFK
Belarus;litesound;we are the heroes;English;;2012;5.81;1260;3AbXaLUm16SoW9Q9mxxt66
Portugal;filipa sousa;vida minha;Portuguese;;2012;6.595238095238095;1261;7xZHQYJfDNrt0mFYO3TgJX
Ukraine;gaitana;be my guest;English;15.0;2012;6.756666666666665;1262;22zkH640K7csJgi3TpgWXT
Bulgaria;sofi marinova;love unlimited;Bulgarian (10 other);;2012;5.892999999999999;1263;7gz29qHG6NQp1fPPPeJP2g
Slovenia;eva boto;verjamem;Slovene;;2012;6.658260869565218;1264;4xg7xdnuoXRD8QPkSzsrc3
Croatia;nina badrić;nebo;Croatian;;2012;5.728695652173914;1265;6CNqu3IbgZX70HkUC0K5Ll
Sweden;loreen;euphoria;English;1.0;2012;5.909090909090909;1266;1xN7BpTAWnZkuSLOtRP6Qc
Georgia;anri jokhadze;i'm a joker;English/Georgian;;2012;5.602666666666666;1267;
Turkey;can bonomo;love me back;English;7.0;2012;5.95;1268;6Sa2IXbpv1TTpYdBY0dJXH
Estonia;ott lepland;kuula;Estonian;6.0;2012;6.240000000000001;1269;6JbhQMm9I8Xskh8ke6mxen
Slovakia;max jason mai;don't close your eyes;English;;2012;5.587222222222222;1270;
Norway;tooji;stay;English;26.0;2012;5.518928571428572;1271;5HQMKE5LBF60BRjUSYc991
Bosnia and Herzegovina;maya sar;korake ti znam;Bosnian;18.0;2012;5.070476190476191;1272;1G6a5Cu18Q0d8MJLszG82f
Lithuania;donny montell;love is blind;English;14.0;2012;5.1066666666666665;1273;4DNIj6r4mKsZMnpATHf3ai
United Kingdom;engelbert humperdinck;love will set you free;English;25.0;2012;6.235714285714285;1274;0gbIrlLpSKnonxTfdWI3zA
France;anggun;echo;French/English;22.0;2012;6.285000000000001;1275;1iqnkBWge47Yhboceuceas
Italy;nina zilli;l'amore è femmina;English/Italian;9.0;2012;5.353333333333334;1276;4Bxmtyht7Dktwwg7FiWnnx
Azerbaijan;sabina babayeva;when the music dies;English;4.0;2012;6.232307692307692;1277;1w2jm6QteAq3qw9xAYSe2W
Spain;pastora soler;quédate conmigo;Spanish;10.0;2012;5.90375;1278;3K2RZuna5MjU5wa3egCiE0
Germany;roman lob;standing still;English;8.0;2012;5.673500000000002;1279;2jluJzlBrAfrzrTOy089e7
Austria;natália kelly;shine;English;;2013;5.577500000000001;1280;2GU5Vu79m17seevloDx4El
Estonia;birgit;et uus saaks alguse;Estonian;20.0;2013;6.326315789473684;1281;1w1jGtu195Gl7yHHvddywa
Slovenia;hannah;straight into love;English;;2013;6.025600000000001;1282;7nMmrdSajIdGEJYTloT9DU
Croatia;klapa s mora;mižerja;Croatian;;2013;5.973636363636363;1283;3eDTnvF4b9z6AQbWIUlT5G
Denmark;emmelie de forest;only teardrops;English;1.0;2013;5.122105263157896;1284;3yRwgprKX3If2zcuGfKFBu
Russia;dina garipova;what if;English;5.0;2013;5.6657692307692304;1285;164MZsresrOc4nw2xYzff3
Ukraine;zlata ognevich;gravity;English;3.0;2013;6.175294117647059;1286;0d3CHhMj2veGNsFJ8bpeT2
Netherlands;anouk;birds;English;9.0;2013;6.054193548387096;1287;
Montenegro;who see;igranka;Montenegrin;;2013;5.626451612903226;1288;3qolQX5Hx9iTkN0Fwdr5mU
Lithuania;andrius pojavis;something;English;22.0;2013;5.600833333333333;1289;7pyDcgyq6T2lNuJEYwhSlX
Belarus;alyona lanskaya;solayoh;English;16.0;2013;6.378275862068966;1290;1PYaCFko32RUtuSMuQTRAT
Moldova;aliona moon;o mie;Romanian;11.0;2013;5.837837837837837;1291;2OQ8r8PyqHRQgP5rZoNk5K
